Station name:,,,,,,
"Hyderabad, India",,,,Latitude (decimals):,7.3,
,,,,,,
Elevation (m):,,148,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,22.4,32.5,1.11,9.846111111,17.34048,3.97
2/1/1979,22.5,33.7,1.63,9.750277778,17.54784,4.53
3/1/1979,23.3,33.8,1.75,9.999722222,18.73152,4.84
4/1/1979,22.9,32.4,1.99,9.723888889,17.33184,4.61
5/1/1979,21.9,30.5,1.43,9.997777778,18.84384,4.33
6/1/1979,21.3,28.5,1.73,8.647777778,13.45248,3.44
7/1/1979,20.9,27.5,1.91,7.655,11.08512,3.08
8/1/1979,21.4,27.8,1.94,8.073888889,11.43936,3.16
9/1/1979,21.3,28.5,1.49,8.928055556,12.79584,3.27
10/1/1979,21.4,29.7,1.16,9.158888889,14.6016,3.49
11/1/1979,22.3,30.8,0.95,9.358055556,15.15456,3.48
12/1/1979,20.4,31.5,0.95,10.24583333,17.21088,3.77
1/1/1980,22.3,32.7,1.2,9.737777778,15.2496,3.75
2/1/1980,23,33.5,1.65,9.780833333,15.45696,4.2
3/1/1980,23.1,33.6,1.7,10.01972222,18.792,4.8
4/1/1980,23,33,1.93,9.915555556,18.56736,4.85
5/1/1980,22.1,30.3,1.71,9.267222222,15.97536,4.01
6/1/1980,22,29.4,1.79,8.48,13.15008,3.5
7/1/1980,21.1,27.3,2.06,6.775555556,10.87776,3.06
8/1/1980,20.9,27.4,2.03,5.626944444,9.6768,2.94
9/1/1980,21.3,28.8,1.3,7.970833333,11.73312,3.07
10/1/1980,21.4,28.9,1.38,8.0025,12.42432,3.2
11/1/1980,21.6,31.1,1.01,9.624444444,15.50016,3.6
12/1/1980,19.4,31.4,1.2,10.18055556,17.34912,3.95
1/1/1981,21,32.3,1.19,9.939444444,16.38144,3.88
2/1/1981,23.6,34.4,1.57,9.933333333,17.4096,4.53
3/1/1981,23.8,34.2,1.73,10.02833333,18.4896,4.83
4/1/1981,23.5,33.4,1.87,9.862777778,18.11808,4.79
5/1/1981,22.2,31.7,1.35,8.591388889,15.04224,3.86
6/1/1981,21.7,30.4,1.6,8.65,13.11552,3.56
7/1/1981,21.6,27.9,2.17,7.395555556,10.03104,3.04
8/1/1981,21.6,27.9,2.02,6.156388889,8.80416,2.83
9/1/1981,21.9,29.3,1.66,7.670555556,10.95552,3.15
10/1/1981,22.5,30.7,1.09,9.096111111,15.3792,3.64
11/1/1981,21.6,32.4,0.95,10.39444444,19.50912,4.25
12/1/1981,22.5,33.5,1.02,9.998333333,15.83712,3.79
1/1/1982,21.4,33.5,1.28,9.906944444,17.15904,4.17
2/1/1982,22.9,34,1.57,10.04583333,17.57376,4.53
3/1/1982,24,33.8,1.4,10.13388889,19.36224,4.72
4/1/1982,23.4,33.1,1.73,9.446388889,16.72704,4.46
5/1/1982,22.5,31.1,1.33,9.085,16.44192,3.98
6/1/1982,22.4,29.5,1.45,8.576944444,13.0464,3.34
7/1/1982,21.4,27.9,1.74,7.188333333,10.44576,2.95
8/1/1982,21.4,27.3,1.86,7.382222222,11.90592,3.12
9/1/1982,22.3,29.2,1.45,7.740277778,12.99456,3.32
10/1/1982,22.2,29.9,1.15,9.020555556,14.73984,3.5
11/1/1982,21.9,31.8,0.96,9.791388889,17.80704,3.96
12/1/1982,21.9,32.9,0.98,9.957777778,16.00992,3.74
1/1/1983,18.9,32.7,2.24,10.46888889,20.25216,5.2
2/1/1983,22.8,35.3,1.66,9.941388889,18.67968,4.92
3/1/1983,24.4,35.5,1.6,10.10361111,21.2112,5.34
4/1/1983,24.3,34.4,1.81,10.225,20.6064,5.26
5/1/1983,23.4,32.3,1.56,9.694722222,17.70336,4.41
6/1/1983,22.2,29.5,1.67,8.685555556,13.22784,3.47
7/1/1983,21.7,28.4,1.87,7.377777778,11.42208,3.18
8/1/1983,21.4,27.7,1.72,6.426666667,10.80864,2.98
9/1/1983,22.3,29.2,1.53,7.763055556,11.89728,3.2
10/1/1983,23,31,1.12,9.780277778,18.61056,4.17
11/1/1983,23.2,32.4,1.16,9.763611111,17.22816,4.05
12/1/1983,22.6,31.9,1.05,9.685,14.52384,3.48
1/1/1984,21.6,33.6,1.27,10.09444444,18.98208,4.42
2/1/1984,23.1,34.9,1.6,9.948055556,18.88704,4.85
3/1/1984,24.5,33.9,1.52,9.855,17.9712,4.57
4/1/1984,23.7,32.3,1.61,9.988333333,18.49824,4.55
5/1/1984,22.8,31.3,1.42,9.436944444,16.14816,4
6/1/1984,21.9,29.9,1.23,9.657777778,15.2928,3.62
7/1/1984,21.6,29.1,1.38,9.158888889,12.64032,3.23
8/1/1984,21.8,29.1,1.29,9.164166667,13.35744,3.3
9/1/1984,21.8,29.3,1.35,8.140555556,12.47616,3.24
10/1/1984,22.2,30.4,1,8.789722222,15.3792,3.57
11/1/1984,23.1,32.1,0.95,9.903888889,18.11808,4.03
12/1/1984,21.2,32.4,1.15,10.25694444,17.50464,4.02
1/1/1985,22.9,33,1.21,9.727222222,15.06816,3.75
2/1/1985,22.4,34.7,1.35,10.01527778,19.98432,4.82
3/1/1985,24.3,34,1.66,9.843333333,17.81568,4.64
4/1/1985,23.6,32.5,1.5,9.843333333,17.91936,4.44
5/1/1985,22.8,30.8,1.65,9.4975,16.57152,4.11
6/1/1985,22,29.7,1.57,9.663055556,15.11136,3.72
7/1/1985,21.1,28.2,1.55,9.192777778,13.10688,3.29
8/1/1985,21.9,28.5,1.46,8.768333333,11.1024,2.98
9/1/1985,21.1,29.3,1.41,8.920555556,13.03776,3.37
10/1/1985,21.7,30.9,0.92,9.324166667,16.26048,3.71
11/1/1985,23.1,32.1,0.91,9.895,16.8912,3.83
12/1/1985,20.3,32.3,1.31,10.15111111,17.60832,4.14
1/1/1986,22.1,32.8,1.31,9.839722222,17.1504,4.1
2/1/1986,23.8,34.3,1.62,9.726111111,16.59744,4.42
3/1/1986,24,32.9,1.51,9.971666667,17.86752,4.44
4/1/1986,23.7,33,1.75,9.942777778,17.85888,4.62
5/1/1986,22.8,32.4,1.32,9.515833333,17.59968,4.29
6/1/1986,21.8,29.9,1.49,9.536666667,15.56928,3.78
7/1/1986,21.1,27.4,1.66,8.435,11.6208,3.03
