Station name:,,,,,,
"Igbogila, Ogun state",,,,Latitude (decimals):,7.5,
,,,,,,
Elevation (m):,,196,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,22.5,33.9,1.07,9.871388889,17.3,4.07
2/1/1979,22.4,34.9,1.69,9.749444444,17.3,4.7
3/1/1979,23.1,34.9,1.91,9.983055556,18.2,5.03
4/1/1979,22.8,33.2,1.97,9.765555556,17.3,4.72
5/1/1979,21.9,31.4,1.47,10.05027778,18.9,4.46
6/1/1979,21,29.5,1.61,9.020833333,13.9,3.59
7/1/1979,21,28.4,1.75,7.789166667,11.8,3.23
8/1/1979,21.2,28.4,1.97,8.370555556,12.2,3.37
9/1/1979,21,29.3,1.46,9.011388889,13.1,3.42
10/1/1979,21,30.8,1.11,9.321666667,15.1,3.64
11/1/1979,22,32,0.91,9.485277778,15.6,3.62
12/1/1979,20.6,32.3,0.98,10.28972222,17.2,3.85
1/1/1980,22.4,34,1.13,9.6975,15.1,3.81
2/1/1980,23,34.8,1.85,9.776388889,15.4,4.51
3/1/1980,22.9,34.7,1.86,9.991111111,18.4,5.01
4/1/1980,22.9,33.8,1.93,10.12555556,18.7,5
5/1/1980,22.1,31.2,1.77,9.392777778,16.1,4.18
6/1/1980,21.8,30.3,1.69,8.725277778,13.6,3.66
7/1/1980,21,28.2,1.95,6.806666667,11.1,3.19
8/1/1980,20.7,28,2.02,5.955,9.9,3.06
9/1/1980,21,29.5,1.27,8.3525,12.4,3.23
10/1/1980,21,30.1,1.33,8.388611111,13.2,3.42
11/1/1980,21.2,32.1,0.98,9.634722222,15.8,3.71
12/1/1980,19.5,32.3,1.13,10.15083333,17.2,3.97
1/1/1981,21,33.8,1.12,9.896666667,16.5,3.98
2/1/1981,23.5,35.6,1.72,9.805277778,17,4.73
3/1/1981,23.7,35.3,1.86,9.948888889,18,5
4/1/1981,23.5,34.2,1.88,9.825833333,18,4.91
5/1/1981,22.4,32.5,1.42,8.881666667,15.2,4.02
6/1/1981,21.5,31.3,1.55,8.873888889,13.8,3.74
7/1/1981,21.6,28.7,2.01,7.3575,10.3,3.13
8/1/1981,21.5,28.6,2.02,5.889722222,8.8,2.94
9/1/1981,21.7,30.1,1.58,7.676944444,11.3,3.27
10/1/1981,22,31.9,1.13,9.252777778,15.9,3.87
11/1/1981,21.3,33.4,0.96,10.41777778,19.6,4.36
12/1/1981,22.7,34.3,0.92,10.06333333,15.8,3.78
1/1/1982,21.4,34.9,1.21,9.9425,17.2,4.27
2/1/1982,23,35.2,1.71,9.97,17.1,4.7
3/1/1982,23.8,34.9,1.61,10.1625,18.6,4.87
