Station name:,,,,,,
Igbojaiye,,,,Latitude (decimals):,3.3,
,,,,,,
Elevation (m):,,256,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,20.8,33.5,1.82,9.974444444,17.80704,4.73
2/1/1979,20.8,35,1.72,9.719444444,18.67968,5.05
3/1/1979,22.3,34.9,2.13,9.694166667,19.50912,5.43
4/1/1979,22,33.1,2.28,9.590555556,18.41184,5.09
5/1/1979,21.1,31,1.65,9.951388889,19.32768,4.56
6/1/1979,20.2,29.1,1.69,8.791111111,14.5152,3.66
7/1/1979,20.1,27.8,1.75,7.968333333,12.26016,3.23
8/1/1979,20.4,27.8,1.92,8.418055556,12.4848,3.33
9/1/1979,20,28.6,1.44,8.713888889,12.94272,3.34
10/1/1979,20.3,30.5,1.36,9.133055556,14.95584,3.78
11/1/1979,20.8,31.7,1.22,9.325277778,15.97536,3.91
12/1/1979,18.6,32.1,1.63,10.24583333,17.43552,4.44
1/1/1980,20.9,33.7,1.82,9.503333333,16.13088,4.53
2/1/1980,21.6,34.9,1.89,9.469166667,17.14176,4.91
3/1/1980,22,34.9,2.06,9.847777778,20.19168,5.5
4/1/1980,22.2,33.9,2.25,9.836944444,19.51776,5.35
5/1/1980,21.3,31.1,2.05,9.172777778,16.36416,4.36
6/1/1980,20.9,30,1.73,8.780277778,14.37696,3.75
7/1/1980,20.2,27.6,1.97,7.216388889,11.26656,3.16
8/1/1980,19.8,27.4,1.97,6.526388889,10.22976,3.05
9/1/1980,20,28.9,1.23,8.268055556,12.49344,3.2
10/1/1980,20.3,29.6,1.54,8.428888889,13.50432,3.57
11/1/1980,20,31.8,1.31,9.520833333,15.99264,4
12/1/1980,17.8,32.1,1.61,10.0375,17.1936,4.42
1/1/1981,19.4,33.2,1.83,10.00944444,17.27136,4.68
2/1/1981,22.1,35.9,1.88,9.701111111,18.63648,5.25
3/1/1981,22.8,35.5,2.08,9.606111111,19.31904,5.45
4/1/1981,22.8,34.2,2.16,9.662777778,18.7056,5.2
5/1/1981,21.5,32.3,1.67,8.900833333,15.78528,4.23
6/1/1981,20.9,31,1.69,8.780555556,14.65344,3.9
7/1/1981,20.8,28,2.08,7.344722222,10.41984,3.11
8/1/1981,20.8,28.1,1.98,5.980555556,8.74368,2.88
9/1/1981,20.8,29.5,1.53,7.765555556,11.37888,3.23
10/1/1981,21.2,31.5,1.38,9.231666667,16.13952,4.04
11/1/1981,19.9,33.1,1.39,10.26305556,19.2672,4.66
12/1/1981,20.6,34.3,1.25,9.892777778,16.34688,4.21
1/1/1982,20,34.2,2.18,9.91,17.6256,5.11
2/1/1982,21.7,35,2.02,9.911111111,18.17856,5.16
3/1/1982,22.8,34.9,1.91,9.997777778,19.75968,5.3
4/1/1982,22.8,33.8,2.14,9.379166667,16.96896,4.87
5/1/1982,21.6,31.8,1.66,9.043888889,17.0208,4.33
6/1/1982,21.3,30.4,1.52,9.0525,14.63616,3.71
7/1/1982,20.8,28.2,1.67,7.703055556,11.7072,3.13
8/1/1982,20.6,27.6,1.86,7.509722222,11.77632,3.18
9/1/1982,21.1,29.4,1.35,8.030277778,13.18464,3.37
10/1/1982,21,30.6,1.33,9.131666667,15.05088,3.76
11/1/1982,20.3,32.6,1.25,9.957222222,18.16992,4.34
12/1/1982,20.2,33.6,1.42,10.11333333,16.632,4.32
1/1/1983,17.5,33.1,3.27,10.48222222,19.5696,6.07
2/1/1983,21.6,36.7,2,9.966666667,19.04256,5.55
3/1/1983,23.2,36.8,2.04,10.20666667,21.27168,5.91
4/1/1983,23.7,35.5,2.13,10.01472222,21.0384,5.71
5/1/1983,22.7,33.3,1.85,9.8175,18.64512,4.84
6/1/1983,21.3,30.2,1.64,8.954722222,14.50656,3.73
7/1/1983,21,28.7,1.75,7.228333333,11.7936,3.23
8/1/1983,20.7,28,1.77,6.924166667,11.2752,3.12
9/1/1983,21.1,29.5,1.51,8.322777778,12.67488,3.39
10/1/1983,21.6,32.1,1.31,9.683888889,19.66464,4.57
11/1/1983,21.6,33.5,1.33,9.800833333,18.00576,4.45
12/1/1983,21.1,32.7,1.4,9.378611111,15.0768,3.96
1/1/1984,20.2,34.5,2.1,10.23472222,18.8352,5.25
2/1/1984,21.7,36.1,1.9,10.00722222,19.44,5.43
3/1/1984,23.4,35.1,1.98,9.714444444,18.56736,5.18
4/1/1984,22.8,33.1,1.98,9.965277778,18.88704,4.95
5/1/1984,21.8,32,1.81,9.069166667,16.35552,4.34
6/1/1984,21,30.6,1.4,9.453888889,16.13952,3.89
7/1/1984,20.9,29.4,1.38,8.708333333,13.25376,3.34
8/1/1984,20.9,29.2,1.34,8.913611111,14.03136,3.44
9/1/1984,20.6,29.4,1.41,8.385833333,12.90816,3.38
10/1/1984,21.1,31,1.27,8.968611111,16.0704,3.91
11/1/1984,21.5,33.1,1.25,9.964166667,18.4032,4.41
12/1/1984,19.4,33.1,1.66,10.21638889,17.34912,4.56
1/1/1985,21.6,34.1,2.02,9.62,16.20864,4.7
2/1/1985,20.8,36,1.93,10.19611111,20.2608,5.59
3/1/1985,23.4,35.3,2.02,9.635277778,18.46368,5.22
4/1/1985,22.8,33.3,1.9,9.8825,18.32544,4.85
5/1/1985,21.9,31.7,2.04,9.375277778,17.03808,4.51
6/1/1985,20.9,30.4,1.68,9.367222222,15.94944,3.99
7/1/1985,20.4,28.5,1.49,9.016111111,13.27104,3.32
8/1/1985,20.9,28.5,1.54,8.4175,11.63808,3.12
9/1/1985,20.1,29.5,1.36,8.419444444,12.85632,3.38
10/1/1985,20.5,31.8,1.36,9.339444444,17.20224,4.23
11/1/1985,21.4,33.3,1.28,9.661666667,17.61696,4.35
12/1/1985,18.7,32.8,1.83,10.31027778,17.5824,4.7
1/1/1986,20.6,33.7,1.99,10.02194444,17.63424,4.86
2/1/1986,22.5,35.7,1.89,9.513055556,17.63424,5.06
3/1/1986,22.9,34.1,1.95,9.588611111,18.28224,4.98
4/1/1986,22.9,33.8,2.09,9.691666667,18.0144,4.99
5/1/1986,21.9,33.1,1.73,9.288888889,17.8416,4.65
6/1/1986,20.8,30.6,1.64,9.531111111,16.8048,4.11
7/1/1986,20.4,27.7,1.6,8.49,12.34656,3.15
8/1/1986,20.1,27.9,1.52,7.6825,12.20832,3.16
9/1/1986,20.5,28.6,1.41,7.9125,12.6576,3.26
10/1/1986,20.7,30.6,1.27,9.352222222,16.75296,3.98
11/1/1986,20.5,31.8,1.22,9.6925,16.79616,4.04
