Station name:,,,,,,
"Ikere Gorge Dam, Oyo",,,,Latitude (decimals):,8.1,
,,,,,,
Elevation (m):,,257,Wind speed height (m):,,2,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,20.7,33.1,1.2,9.9725,17.27136,4.08
2/1/1979,20.5,34.6,1.4,9.655555556,17.4528,4.51
3/1/1979,22.3,34.7,1.87,9.668333333,18.21312,5.01
4/1/1979,22.2,33.1,2.21,9.549722222,17.41824,4.9
5/1/1979,21.2,30.8,1.61,9.888055556,18.8784,4.48
6/1/1979,20.5,28.9,1.71,8.783888889,14.2992,3.65
7/1/1979,20.2,27.6,1.69,7.991666667,11.99232,3.18
8/1/1979,20.5,27.6,1.9,8.282777778,12.0528,3.26
9/1/1979,20.2,28.5,1.49,8.710555556,12.72672,3.32
10/1/1979,20.4,30.1,1.21,9.069166667,14.52384,3.57
11/1/1979,20.8,31.2,1.25,9.277777778,15.64704,3.78
12/1/1979,18.3,31.9,1.35,10.25972222,17.38368,4.12
1/1/1980,20.7,33.4,1.24,9.470833333,15.65568,3.92
2/1/1980,21.3,34.6,1.52,9.405833333,15.80256,4.35
3/1/1980,22,34.6,1.78,9.800555556,18.80928,5.03
4/1/1980,22.3,33.8,2.15,9.750277778,18.45504,5.12
5/1/1980,21.4,30.9,2.03,9.008055556,15.6384,4.24
6/1/1980,21.1,29.6,1.76,8.774166667,14.02272,3.69
7/1/1980,20.3,27.5,1.92,7.188333333,11.11968,3.13
8/1/1980,19.9,27.2,1.96,6.606388889,10.08288,3.02
9/1/1980,20.3,28.9,1.27,8.185833333,12.08736,3.16
10/1/1980,20.4,29.3,1.4,8.288888889,12.83904,3.35
11/1/1980,20,31.5,1.34,9.489444444,15.7248,3.89
12/1/1980,17.4,32,1.38,10.02111111,17.13312,4.14
1/1/1981,19.2,32.7,1.26,10.05722222,16.68384,4.02
2/1/1981,21.7,35.5,1.53,9.745,17.53056,4.7
3/1/1981,22.7,35.3,1.81,9.6,17.98848,5
4/1/1981,22.8,34.1,2.06,9.632777778,17.73792,4.99
5/1/1981,21.6,32.1,1.63,8.668611111,15.09408,4.11
6/1/1981,21.3,30.7,1.71,8.688888889,14.1696,3.83
7/1/1981,20.9,27.9,2.04,7.225555556,10.22976,3.08
8/1/1981,20.8,27.9,1.99,6.033611111,8.57952,2.86
9/1/1981,21.1,29.4,1.6,7.728055556,11.13696,3.21
10/1/1981,21.3,31.1,1.2,9.15,15.62112,3.8
11/1/1981,19.9,32.7,1.41,10.24166667,19.03392,4.52
12/1/1981,20.1,34,0.98,9.863333333,16.22592,3.86
1/1/1982,19.6,33.7,1.62,9.910555556,17.02944,4.46
2/1/1982,21.4,34.8,1.71,9.893888889,17.08992,4.7
3/1/1982,22.8,34.7,1.64,9.975,18.55872,4.88
4/1/1982,22.7,33.6,2.06,9.341944444,15.99264,4.66
5/1/1982,21.8,31.7,1.63,8.915555556,16.29504,4.22
6/1/1982,21.7,30.1,1.53,9.045555556,14.24736,3.65
7/1/1982,20.8,28.1,1.61,7.689444444,11.41344,3.09
8/1/1982,20.6,27.4,1.86,7.510277778,11.61216,3.15
9/1/1982,21.4,29.3,1.38,7.958055556,12.9168,3.33
10/1/1982,21.1,30.4,1.19,9.084722222,14.53248,3.57
11/1/1982,20.2,32.1,1.25,9.874444444,17.928,4.19
12/1/1982,19.8,33.4,1.14,10.09472222,16.5024,3.98
1/1/1983,17.2,32.6,2.73,10.47861111,19.15488,5.47
2/1/1983,21.3,36.4,1.66,9.9175,17.90208,5
3/1/1983,23.2,36.4,1.72,10.13944444,20.03616,5.39
4/1/1983,23.6,35.3,2.04,10.01833333,20.28672,5.51
5/1/1983,22.7,33.2,1.84,9.571944444,17.76384,4.72
6/1/1983,21.6,29.9,1.67,8.874722222,14.11776,3.68
7/1/1983,21.1,28.6,1.72,7.18,11.4912,3.19
8/1/1983,20.8,27.7,1.77,6.7,10.96416,3.06
9/1/1983,21.3,29.3,1.55,8.322222222,12.3984,3.34
10/1/1983,21.6,31.5,1.14,9.608055556,19.02528,4.29
11/1/1983,21.5,32.9,1.34,9.628333333,17.6688,4.29
12/1/1983,20.7,32.5,1.16,9.382777778,14.91264,3.68
1/1/1984,19.9,34,1.51,10.23083333,18.43776,4.58
2/1/1984,21.3,35.8,1.57,10.01194444,18.29088,4.89
3/1/1984,23.4,34.9,1.69,9.618611111,17.1504,4.71
4/1/1984,23,33,1.88,9.860833333,17.96256,4.73
5/1/1984,21.9,31.7,1.76,8.939166667,15.58656,4.18
6/1/1984,21.3,30.2,1.39,9.353333333,15.53472,3.79
7/1/1984,20.9,29.2,1.33,8.57,12.88224,3.29
8/1/1984,21,29,1.31,8.824722222,13.57344,3.36
9/1/1984,20.8,29.3,1.43,8.285277778,12.66624,3.35
10/1/1984,21.1,30.6,1.11,8.822222222,15.47424,3.68
11/1/1984,21.4,32.6,1.25,9.841666667,18.144,4.26
12/1/1984,18.9,32.8,1.4,10.20333333,17.24544,4.23
1/1/1985,21.4,33.6,1.43,9.624166667,15.56928,4.06
2/1/1985,20.4,35.6,1.57,10.1725,19.24992,5.02
3/1/1985,23.3,35,1.74,9.636944444,17.08128,4.75
4/1/1985,23,33.3,1.78,9.831666667,17.5824,4.67
5/1/1985,22.2,31.6,2.03,9.228333333,16.2864,4.39
6/1/1985,21.3,30.2,1.71,9.336944444,15.6384,3.96
7/1/1985,20.5,28.3,1.46,8.995833333,12.99456,3.28
8/1/1985,21,28.4,1.53,8.436666667,11.38752,3.09
9/1/1985,20.3,29.4,1.43,8.395833333,12.76992,3.39
10/1/1985,20.5,31.3,1.18,9.215555556,16.58016,3.96
11/1/1985,21.3,32.8,1.29,9.554444444,17.30592,4.19
12/1/1985,18.2,32.7,1.58,10.30555556,17.47008,4.41
1/1/1986,20.3,33.2,1.42,10.0075,17.03808,4.23
2/1/1986,22.3,35.4,1.58,9.479444444,16.51968,4.57
3/1/1986,23.1,33.8,1.69,9.637777778,16.9344,4.54
4/1/1986,23.1,33.9,2,9.607222222,17.07264,4.8
5/1/1986,22,32.9,1.69,9.125277778,17.08992,4.52
6/1/1986,21.1,30.4,1.66,9.415833333,16.30368,4.07
7/1/1986,20.4,27.5,1.55,8.505833333,11.93184,3.09
8/1/1986,20.3,27.7,1.51,7.595277778,11.89728,3.11
9/1/1986,20.8,28.5,1.46,7.816666667,12.13056,3.19
10/1/1986,20.8,30.3,1.12,9.266111111,16.08768,3.75
11/1/1986,20.6,31.4,1.22,9.616111111,16.53696,3.91
12/1/1986,18,33.1,1.47,10.39916667,17.97984,4.43
1/1/1987,20.8,34.1,1.24,9.963333333,17.17632,4.2
2/1/1987,22.3,35.4,1.4,9.491666667,16.52832,4.43
3/1/1987,22.8,34.8,1.6,9.653333333,17.53056,4.71
4/1/1987,23.9,35.3,2.01,9.950277778,20.93472,5.58
5/1/1987,22.4,33.7,2.05,9.727222222,18.93888,5.1
6/1/1987,21.8,31.1,1.55,9.176944444,15.41376,3.95
7/1/1987,21.6,29.9,1.38,8.828055556,13.34016,3.42
8/1/1987,21.6,29,1.65,8.098055556,10.86048,3.11
9/1/1987,21.5,30,1.31,8.681388889,13.05504,3.39
10/1/1987,21.2,31.1,1.15,9.170277778,16.04448,3.83
11/1/1987,21,33.8,1.26,9.844166667,18.5328,4.46
12/1/1987,19.4,33.8,1.26,10.14916667,17.14176,4.21
1/1/1988,20.7,33.2,1.47,10.06583333,17.1936,4.27
2/1/1988,22.3,35.3,1.47,9.657777778,16.77024,4.51
3/1/1988,23.5,35,1.59,9.678888889,17.82432,4.76
4/1/1988,22.8,33.7,1.97,9.610277778,17.20224,4.79
5/1/1988,23,32.5,1.87,9.606666667,18.30816,4.7
6/1/1988,21.3,30,1.68,9.0125,14.31648,3.74
7/1/1988,21,28.2,1.77,7.771388889,11.24064,3.14
8/1/1988,20.4,27.6,1.81,6.939444444,10.368,3.01
9/1/1988,21,29.3,1.51,7.997777778,11.81952,3.26
10/1/1988,21.1,31.4,1.12,9.507222222,17.928,4.11
11/1/1988,21.1,33,1.24,9.681388889,17.70336,4.24
12/1/1988,19.4,32.3,1.26,9.960555556,16.36416,3.94
1/1/1989,16.9,33.4,2.05,10.48027778,19.3104,5.14
2/1/1989,19.8,35,1.86,10.30138889,19.64736,5.25
3/1/1989,22,34.8,1.67,9.581111111,17.68608,4.82
4/1/1989,22.7,33.8,2.13,9.875,19.05984,5.17
5/1/1989,22.1,32.3,1.72,9.593888889,18.11808,4.6
6/1/1989,21.3,30.2,1.51,9.656666667,16.34688,3.97
7/1/1989,20.7,28.6,1.56,8.365555556,12.21696,3.24
8/1/1989,20.5,28.3,1.72,7.758333333,10.9296,3.13
9/1/1989,20.7,29.1,1.37,8.448611111,12.14784,3.23
10/1/1989,20.5,30.6,1.19,9.12,16.26912,3.85
11/1/1989,20.6,33.6,1.42,10.00583333,18.52416,4.56
12/1/1989,19.6,33.2,1.19,10.02694444,16.2864,3.97
1/1/1990,21.3,33.3,1.48,9.688611111,16.43328,4.18
2/1/1990,20.7,35.3,1.59,9.998333333,18.43776,4.88
3/1/1990,22.3,36.7,1.59,10.18638889,21.39264,5.55
4/1/1990,22.6,33.8,2.19,9.887777778,17.73792,5.02
5/1/1990,22.1,32.3,1.89,9.213611111,16.26912,4.43
6/1/1990,21.7,31,1.73,9.065833333,15.08544,3.98
7/1/1990,21.1,27.9,1.83,7.738888889,10.6704,3.04
8/1/1990,21.1,28.1,1.47,7.002222222,10.4112,2.89
9/1/1990,20.6,29.5,1.41,8.253055556,12.528,3.35
10/1/1990,21.2,31.1,1.27,8.994444444,15.8544,3.87
11/1/1990,21.8,33,1.45,9.321944444,16.22592,4.16
12/1/1990,20.9,33.1,1.38,9.2325,14.45472,3.84
1/1/1991,20.4,32.9,1.47,9.711666667,16.39872,4.14
2/1/1991,21.7,34.7,1.76,9.255833333,14.54112,4.36
3/1/1991,22.9,34.1,1.8,9.700277778,17.1936,4.7
4/1/1991,21.9,32.1,2.09,9.5625,16.77024,4.59
5/1/1991,21.6,31.1,1.97,8.991944444,14.78304,4.11
6/1/1991,20.8,30.3,1.58,8.798888889,14.46336,3.77
7/1/1991,20.6,27.9,1.83,7.993055556,10.83456,3.09
8/1/1991,20.3,26.9,2.05,8.091666667,10.9296,3.09
9/1/1991,20.4,29,1.38,8.918333333,12.88224,3.33
10/1/1991,19.5,29.3,1.38,8.690833333,14.57568,3.61
11/1/1991,20,31.7,1.44,9.578333333,17.30592,4.19
12/1/1991,18.3,32.6,1.39,10.07,16.92576,4.17
1/1/1992,17.8,32.8,1.95,10.38527778,18.59328,4.84
2/1/1992,20.2,35.6,1.69,10.29166667,19.43136,5.16
3/1/1992,22.7,35.2,2.03,9.858333333,18.36864,5.2
4/1/1992,23,33.7,2.1,9.656111111,17.90208,4.96
5/1/1992,21.4,31.5,1.81,9.569444444,16.36416,4.32
6/1/1992,20.4,29.7,1.89,8.85,14.06592,3.82
7/1/1992,20.1,27.5,1.98,6.8825,9.45216,2.96
8/1/1992,19.8,26.7,2.02,7.981944444,11.1456,3.11
9/1/1992,20,27.8,1.55,7.991944444,11.56032,3.12
10/1/1992,19.8,30.2,1.3,9.268055556,15.48288,3.77
11/1/1992,19.1,31.7,1.52,9.859166667,17.47872,4.29
12/1/1992,19.1,34.1,1.29,10.05083333,16.70976,4.21
1/1/1993,17.8,33,1.82,10.33194444,18.36,4.75
2/1/1993,20.1,35.8,1.79,9.831666667,17.25408,4.99
3/1/1993,20.9,34.1,1.79,9.538055556,17.30592,4.8
4/1/1993,21.8,33.9,2.2,9.686388889,18.36,5.19
5/1/1993,21.4,32.1,2,9.451111111,16.8048,4.57
6/1/1993,20.9,30,1.68,9.353611111,16.03584,4
7/1/1993,20,27.9,1.59,7.405277778,10.86048,3.03
8/1/1993,20.1,27.7,1.76,8.039444444,11.81952,3.21
9/1/1993,19.9,29.1,1.38,8.174722222,11.93184,3.24
10/1/1993,20.1,30.9,1.18,9.229166667,15.56928,3.78
11/1/1993,20.1,33.2,1.32,9.376111111,15.95808,4.1
12/1/1993,19,33.2,1.29,10.07611111,16.2432,4.06
1/1/1994,19.7,32.6,1.58,9.7925,16.39872,4.21
2/1/1994,21.4,34.7,1.57,9.970555556,18.21312,4.74
3/1/1994,22.5,34.9,1.92,9.561388889,17.8848,5.01
4/1/1994,22.3,32.7,2.17,9.907777778,17.65152,4.83
5/1/1994,21.4,31.7,1.71,9.995555556,18.41184,4.58
6/1/1994,20.4,30.2,1.76,9.148611111,14.75712,3.91
7/1/1994,20.2,27.8,2.02,8.468611111,11.9232,3.33
8/1/1994,20.3,26.9,2.07,6.39,9.61632,2.92
9/1/1994,20.3,28.7,1.76,8.166666667,11.32704,3.28
10/1/1994,19.9,29.7,1.14,8.631666667,13.05504,3.3
11/1/1994,19.3,32.2,1.36,10.1125,18.25632,4.34
12/1/1994,18.9,31.6,1.75,10.45777778,18.41184,4.47
1/1/1995,18.2,33.9,1.49,10.24833333,17.496,4.48
2/1/1995,20.3,35.3,1.51,9.903611111,16.90848,4.62
3/1/1995,22.2,34.3,1.76,9.451111111,16.64928,4.65
4/1/1995,22.3,33.1,2.04,9.457777778,17.04672,4.74
5/1/1995,21.3,32,1.65,9.483888889,17.66016,4.48
6/1/1995,20.7,30.2,1.75,8.862777778,15.13728,3.94
7/1/1995,20.7,28.1,1.78,8.012777778,11.38752,3.17
8/1/1995,20.5,27.6,1.89,7.707222222,9.8496,2.97
9/1/1995,20.2,29,1.72,7.913055556,11.08512,3.27
10/1/1995,20.1,30,1.34,8.739166667,13.53024,3.5
11/1/1995,19.2,32.6,1.5,10.17277778,17.43552,4.38
12/1/1995,18.9,33.7,1.29,9.548611111,14.97312,3.96
1/1/1996,20.6,33.3,1.33,9.427777778,14.98176,3.89
2/1/1996,21.2,35.1,1.63,9.196388889,14.88672,4.39
3/1/1996,22.4,34.5,1.73,9.242777778,16.33824,4.61
4/1/1996,22,33.3,1.97,9.823611111,17.55648,4.82
5/1/1996,21.4,32.4,1.75,9.485277778,16.2864,4.4
6/1/1996,20.7,30,1.69,8.809722222,13.68576,3.69
7/1/1996,20.1,28.7,1.75,8.260555556,11.7936,3.32
8/1/1996,20,27.4,1.93,6.832222222,9.91008,3
9/1/1996,20,28,1.77,7.895555556,11.60352,3.24
10/1/1996,20,29.9,1.38,9.006944444,14.9904,3.71
11/1/1996,20,32.2,1.59,10.48222222,19.40544,4.63
12/1/1996,19.2,33.8,1.25,9.546944444,15.3792,3.98
1/1/1997,20.3,33.9,1.44,9.548611111,15.6816,4.15
2/1/1997,19.6,35.7,1.89,10.40611111,19.81152,5.41
3/1/1997,22.2,33.7,1.59,9.625,16.56288,4.44
4/1/1997,21.5,32.2,2.12,9.678888889,16.5456,4.62
5/1/1997,20.7,31.3,1.62,9.912777778,17.96256,4.44
6/1/1997,20.5,29.7,1.64,8.8475,13.9104,3.67
7/1/1997,20.2,28,1.83,8.560277778,12.63168,3.37
8/1/1997,20,27.9,1.77,8.169722222,12.51072,3.34
9/1/1997,20.5,29.9,1.39,9.118888889,13.8672,3.57
10/1/1997,20.1,30.9,1.13,9.259444444,15.8544,3.79
11/1/1997,20.3,32.5,1.27,9.717222222,17.33184,4.17
12/1/1997,19.4,33.3,1.38,10.22777778,17.46144,4.29
1/1/1998,19.1,33.9,1.74,10.24638889,18.33408,4.76
2/1/1998,21.4,36.4,1.63,10.12194444,18.75744,5.09
3/1/1998,23.1,36.6,1.73,10.02694444,20.24352,5.46
4/1/1998,23.6,34.7,2.07,10.11555556,19.01664,5.24
5/1/1998,22.4,32.6,1.54,10.015,17.90208,4.5
6/1/1998,20.8,30.8,1.24,9.856944444,16.58016,3.94
7/1/1998,21.2,28.2,1.56,8.758611111,11.95776,3.14
8/1/1998,20,27.6,1.76,7.711388889,11.41344,3.15
9/1/1998,20.4,28.9,1.43,8.536944444,12.55392,3.3
10/1/1998,20.4,30.3,1.23,9.075,15.06816,3.67
11/1/1998,20.5,33.1,1.31,9.825555556,17.8848,4.33
12/1/1998,19.3,33.8,1.32,10.03333333,17.0208,4.24
1/1/1999,20.2,33.6,1.38,9.656388889,16.2864,4.15
2/1/1999,20.8,34.5,1.53,9.746666667,16.83936,4.51
3/1/1999,22,34.7,1.73,9.657222222,17.35776,4.8
4/1/1999,21.8,33.1,1.87,10.08638889,18.7488,4.91
5/1/1999,21.6,32.6,1.51,9.869722222,19.03392,4.67
6/1/1999,21,31,1.44,9.579722222,16.08768,4
7/1/1999,20.2,28.3,1.77,8.561388889,11.42208,3.22
8/1/1999,19.8,27.3,1.86,8.364166667,11.42208,3.17
9/1/1999,20,28.2,1.5,8.071944444,11.38752,3.12
10/1/1999,19.9,29.5,1.17,8.585277778,13.0032,3.29
11/1/1999,20.1,32.6,1.24,9.5575,16.91712,4.1
12/1/1999,18.8,34,1.43,10.27861111,17.59968,4.44
1/1/2000,20.9,34.5,1.44,9.7525,16.33824,4.29
2/1/2000,20.3,34.3,1.9,10.33722222,19.62144,5.15
3/1/2000,22,35.4,1.87,10.15055556,20.80512,5.5
4/1/2000,22.1,34.2,1.98,9.948333333,19.12896,5.19
5/1/2000,22,33,1.5,9.975833333,19.0944,4.71
6/1/2000,20.6,30.4,1.58,8.828611111,14.48064,3.79
7/1/2000,20.4,28.3,1.62,8.700277778,12.4848,3.29
8/1/2000,20.1,27,1.62,8.177777778,11.48256,3.03
9/1/2000,20,29.4,1.51,8.569444444,11.80224,3.32
10/1/2000,19.7,30.8,1.21,9.230277778,15.14592,3.74
11/1/2000,20,33.1,1.34,9.830277778,18.17856,4.4
12/1/2000,18.6,34.4,1.41,10.01916667,17.05536,4.41
1/1/2001,19,34,1.46,10.13333333,17.95392,4.5
2/1/2001,21,35.1,1.68,10.20305556,18.9648,4.99
3/1/2001,21.8,36.5,1.69,9.692222222,18.68832,5.22
4/1/2001,22.6,33.4,1.95,9.591944444,17.59968,4.8
5/1/2001,22.6,32.5,1.6,10.085,18.94752,4.67
6/1/2001,20.8,29.9,1.57,9.613888889,15.552,3.87
7/1/2001,21,28.4,1.6,8.633888889,12.01824,3.2
8/1/2001,20.1,27.3,1.78,6.853333333,9.60768,2.88
9/1/2001,20.5,28.5,1.52,8.706388889,12.88224,3.34
10/1/2001,20.8,30.8,1.23,9.566388889,17.28864,4.03
11/1/2001,20.7,33.2,1.39,9.697777778,17.74656,4.38
12/1/2001,20,34.7,1.32,10.01527778,16.62336,4.28
1/1/2002,20.1,31.9,1.67,10.32083333,18.2304,4.39
2/1/2002,20.9,35.4,1.64,9.936944444,17.928,4.86
3/1/2002,22.6,35.6,1.73,9.757777778,18.50688,5.07
4/1/2002,22.4,33.4,1.89,9.835,17.91936,4.82
5/1/2002,22,33,1.6,10.11083333,20.51136,4.98
6/1/2002,21,30.7,1.68,8.702222222,14.9472,3.93
7/1/2002,21,29,1.43,8.517777778,12.03552,3.19
8/1/2002,20.7,28,1.63,8.524722222,11.80224,3.16
9/1/2002,20.7,28.9,1.53,9.072777778,14.10912,3.55
10/1/2002,20.6,29.7,1.24,9.120555556,14.67072,3.56
11/1/2002,20.8,32.9,1.25,9.669444444,17.03808,4.15
12/1/2002,19.4,34,1.44,9.830833333,16.632,4.32
1/1/2003,20,34.1,1.35,9.7975,16.40736,4.2
2/1/2003,22,36.1,1.5,9.665833333,16.6752,4.63
3/1/2003,23.2,35.6,1.65,9.843055556,18.77472,5.03
