Station name:,,,,,,
Iwo Project,,,,,Latitude (decimals):,7.8
,,,,,,
Elevation (m):,,306,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,21.3,32.3,1.17,9.931388889,16.6404,3.89
2/1/1979,21.1,34,1.62,9.671111111,16.6992,4.49
3/1/1979,22.9,34.1,1.8,9.835555556,17.7576,4.78
4/1/1979,22.6,32.7,2.04,9.655833333,16.7832,4.62
5/1/1979,21.5,30.7,1.55,9.853055556,18.5556,4.38
6/1/1979,21.3,28.5,1.69,8.735,13.65,3.46
7/1/1979,20.7,27.7,1.78,8.067222222,11.1216,3.08
8/1/1979,21.1,27.7,1.91,8.171388889,11.0124,3.1
9/1/1979,21,28.5,1.41,8.811944444,12.2472,3.18
10/1/1979,21.2,29.9,1.2,9.056666667,14.0028,3.45
11/1/1979,21.6,30.9,1.06,9.210277778,14.7336,3.5
12/1/1979,18.8,31.7,1.13,10.28416667,16.9008,3.87
1/1/1980,21.2,32.5,1.22,9.558055556,14.952,3.72
2/1/1980,21.8,34.1,1.62,9.534722222,14.8932,4.22
3/1/1980,22.5,34.1,1.7,9.901388889,18.0432,4.78
4/1/1980,22.6,33.4,1.97,9.795277778,17.7324,4.83
5/1/1980,21.7,30.7,1.9,9.024444444,15.246,4.07
6/1/1980,21.9,29.4,1.76,8.7225,13.1628,3.5
7/1/1980,20.8,27.5,1.99,7.289444444,10.5924,3.05
8/1/1980,20.5,27.4,1.99,6.672777778,9.5256,2.94
9/1/1980,21,28.8,1.23,8.116111111,11.3736,3
10/1/1980,21.3,29.1,1.4,8.148888889,11.9028,3.16
11/1/1980,20.9,31.2,1.14,9.482777778,14.9772,3.62
12/1/1980,17.9,31.6,1.3,10.09638889,16.8336,3.99
1/1/1981,19.8,32,1.27,10.01944444,15.8424,3.84
2/1/1981,22.2,34.8,1.6,9.874444444,16.7832,4.55
3/1/1981,23.3,34.8,1.71,9.762222222,17.388,4.75
