Station name:,,,,,,
Middle Ogun Project,,,,,Latitude (decimals):,7.9
,,,,,,
Elevation (m):,,223,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,21.8,33.4,1.08,9.933888889,16.96896,3.97
2/1/1979,21.5,34.8,1.64,9.655277778,16.79616,4.61
3/1/1979,23,34.8,2.01,9.7425,17.91072,5.04
4/1/1979,22.8,33.3,2.31,9.588888889,17.11584,4.9
5/1/1979,21.9,31.2,1.57,9.884722222,18.86112,4.49
6/1/1979,21.2,29,1.74,8.739166667,13.9104,3.58
7/1/1979,20.9,28,1.72,7.903055556,11.59488,3.14
8/1/1979,21.3,28.1,1.91,8.226111111,11.64672,3.22
9/1/1979,21.1,29,1.53,8.752777778,12.56256,3.33
10/1/1979,21.4,30.5,1.13,9.071111111,14.39424,3.52
11/1/1979,21.9,31.6,1.01,9.256388889,15.24096,3.6
12/1/1979,19.4,32.3,1.16,10.25805556,17.28864,3.99
1/1/1980,21.8,33.6,1.14,9.522222222,15.21504,3.79
2/1/1980,22.3,34.8,1.73,9.478611111,14.98176,4.39
3/1/1980,22.7,34.8,1.9,9.840277778,18.3168,5.04
4/1/1980,22.9,34,2.25,9.772777778,18.19584,5.14
5/1/1980,22,31.2,1.95,9.060555556,15.64704,4.21
6/1/1980,21.9,29.9,1.8,8.692222222,13.58208,3.65
7/1/1980,21,27.9,1.93,7.110833333,10.9296,3.12
8/1/1980,20.7,27.7,1.97,6.366944444,9.78912,2.99
9/1/1980,21.1,29.3,1.33,8.133611111,11.7504,3.15
10/1/1980,21.4,29.7,1.32,8.203611111,12.45888,3.26
11/1/1980,21.1,31.8,1.1,9.500277778,15.43968,3.71
12/1/1980,18.4,32.3,1.29,10.05111111,17.1504,4.09
1/1/1981,20.3,33,1.16,10.01861111,16.25184,3.91
2/1/1981,22.7,35.6,1.7,9.785,16.85664,4.73
3/1/1981,23.5,35.5,1.92,9.687777778,17.66016,5.03
4/1/1981,23.4,34.2,2.16,9.665555556,17.5824,5
5/1/1981,22.2,32.5,1.55,8.6325,14.98176,4.07
6/1/1981,21.8,30.8,1.71,8.678055556,13.608,3.73
7/1/1981,21.6,28.3,2.04,7.242777778,10.01376,3.05
8/1/1981,21.5,28.4,2,6.064722222,8.4672,2.86
9/1/1981,21.9,29.7,1.66,7.685277778,10.8432,3.19
10/1/1981,22.2,31.4,1.1,9.1,15.31872,3.71
11/1/1981,21,33,1.11,10.25277778,18.99936,4.33
12/1/1981,21.3,34.4,0.95,9.870555556,16.00128,3.84
1/1/1982,20.7,34.1,1.4,9.897222222,16.75296,4.27
2/1/1982,22.3,35.1,1.82,9.920555556,16.61472,4.73
3/1/1982,23.6,34.9,1.72,10.00055556,18.38592,4.91
4/1/1982,23.3,33.9,2.13,9.356666667,15.9408,4.7
5/1/1982,22.4,31.9,1.56,8.938333333,16.2432,4.17
6/1/1982,22.3,30.2,1.54,8.932777778,13.70304,3.56
7/1/1982,21.5,28.5,1.62,7.576111111,10.9728,3.04
8/1/1982,21.4,27.9,1.89,7.480833333,11.56896,3.17
9/1/1982,22.2,29.7,1.44,7.92,12.72672,3.34
10/1/1982,22,30.6,1.11,9.065,14.41152,3.51
11/1/1982,21.2,32.5,0.99,9.831666667,17.67744,4.02
12/1/1982,20.8,33.7,1.02,10.03527778,16.25184,3.87
1/1/1983,18.3,33.1,2.54,10.47555556,19.27584,5.38
2/1/1983,22.2,36.6,1.81,9.912222222,17.52192,5.07
3/1/1983,24,36.6,1.8,10.12,19.97568,5.44
4/1/1983,24.2,35.4,2.14,10.05222222,20.18304,5.54
5/1/1983,23.3,33.4,1.78,9.568611111,17.59968,4.66
6/1/1983,22.3,30,1.69,8.826666667,13.64256,3.6
7/1/1983,21.8,29,1.73,7.221666667,11.29248,3.18
8/1/1983,21.4,28.1,1.76,6.597222222,10.67904,3.03
9/1/1983,22.1,29.7,1.59,8.191388889,12.00096,3.31
10/1/1983,22.5,31.8,1.06,9.619166667,18.65376,4.22
11/1/1983,22.6,33.1,1.12,9.629166667,17.27136,4.1
12/1/1983,21.7,32.8,1.08,9.434444444,14.67936,3.61
1/1/1984,21,34.3,1.36,10.1875,18.36864,4.47
2/1/1984,22.3,36,1.73,9.985555556,17.85024,4.96
3/1/1984,24.2,35,1.79,9.664166667,16.8912,4.72
4/1/1984,23.6,33.1,1.97,9.864722222,17.87616,4.75
5/1/1984,22.6,32.1,1.68,9.035277778,15.64704,4.17
6/1/1984,22,30.4,1.39,9.410277778,15.22368,3.75
7/1/1984,21.6,29.6,1.34,8.69,12.66624,3.27
8/1/1984,21.8,29.5,1.32,8.889722222,13.3056,3.35
9/1/1984,21.6,29.7,1.44,8.218611111,12.33792,3.31
10/1/1984,22.1,31,1.02,8.790833333,15.21504,3.61
11/1/1984,22.6,32.9,0.99,9.821666667,17.91072,4.09
12/1/1984,20,33.2,1.29,10.20472222,17.26272,4.17
1/1/1985,22.3,33.7,1.26,9.633611111,15.06816,3.86
2/1/1985,21.5,35.8,1.66,10.12694444,18.88704,5.05
3/1/1985,24,35.2,1.85,9.679722222,16.83072,4.79
4/1/1985,23.5,33.4,1.88,9.8175,17.47008,4.7
5/1/1985,22.7,31.8,1.93,9.266388889,16.26912,4.34
6/1/1985,22,30.3,1.71,9.401388889,15.31872,3.9
7/1/1985,21.2,28.7,1.48,9.054444444,12.93408,3.29
8/1/1985,21.8,28.9,1.54,8.496388889,11.12832,3.07
9/1/1985,21.1,29.7,1.48,8.507777778,12.67488,3.4
10/1/1985,21.4,31.6,1.04,9.2,16.2432,3.84
11/1/1985,22.4,33,1.01,9.608333333,16.9344,3.97
12/1/1985,19.2,33.1,1.45,10.26222222,17.44416,4.33
1/1/1986,21.4,33.4,1.3,9.952777778,16.74432,4.1
2/1/1986,23.1,35.5,1.75,9.533888889,15.87168,4.59
3/1/1986,23.7,33.9,1.78,9.708333333,16.73568,4.55
4/1/1986,23.6,34,2.09,9.671944444,17.04672,4.84
5/1/1986,22.6,33.2,1.6,9.182777778,17.13312,4.49
6/1/1986,21.8,30.5,1.65,9.414444444,15.87168,3.98
7/1/1986,21.1,27.9,1.55,8.485277778,11.67264,3.06
8/1/1986,20.9,28.1,1.54,7.565833333,11.664,3.1
9/1/1986,21.6,28.9,1.51,7.773333333,11.88,3.19
10/1/1986,21.7,30.5,1.04,9.271944444,15.8112,3.67
11/1/1986,21.7,31.8,0.95,9.597777778,16.33824,3.74
12/1/1986,19.1,33.5,1.33,10.36222222,17.99712,4.35
1/1/1987,21.9,34.3,1.07,9.899166667,16.81344,4.03
2/1/1987,23.2,35.5,1.59,9.5375,15.768,4.45
3/1/1987,23.6,35,1.71,9.736666667,17.38368,4.77
4/1/1987,24.5,35.5,2.07,9.982222222,20.71008,5.59
5/1/1987,23.1,34,1.99,9.764444444,18.75744,5.06
6/1/1987,22.5,31.4,1.57,9.282222222,15.23232,3.94
7/1/1987,22.3,30.3,1.38,8.871666667,12.96864,3.39
8/1/1987,22.4,29.5,1.65,8.061388889,10.43712,3.06
9/1/1987,22.3,30.4,1.34,8.740833333,12.68352,3.36
10/1/1987,22.2,31.4,1.07,9.166944444,15.79392,3.76
11/1/1987,22.2,34.1,1.01,9.840277778,18.25632,4.26
12/1/1987,20.5,34.2,1.14,10.16888889,17.12448,4.13
1/1/1988,21.8,33.5,1.29,10.05916667,16.9776,4.13
2/1/1988,23.3,35.5,1.64,9.677222222,16.14816,4.54
3/1/1988,24.2,35,1.67,9.726388889,17.57376,4.75
4/1/1988,23.4,33.9,2.07,9.667777778,17.18496,4.84
5/1/1988,23.5,32.7,1.8,9.687222222,18.24768,4.66
6/1/1988,22,30.2,1.65,9.085833333,14.04,3.68
7/1/1988,21.8,28.6,1.76,7.847777778,11.0592,3.11
8/1/1988,21.2,28.2,1.79,7.18,10.4976,3.04
9/1/1988,21.8,29.7,1.57,8.001111111,11.56032,3.25
10/1/1988,22,31.7,1.02,9.482777778,17.54784,4.02
11/1/1988,22.2,33.3,1.01,9.705277778,17.42688,4.06
12/1/1988,20.4,32.7,1.16,9.944166667,16.12224,3.87
1/1/1989,18,33.7,1.77,10.45611111,19.36224,4.92
2/1/1989,20.9,35.3,1.93,10.29916667,19.46592,5.29
3/1/1989,22.9,35,1.78,9.641388889,17.41824,4.85
4/1/1989,23.3,34,2.24,9.903611111,18.81792,5.2
5/1/1989,22.8,32.5,1.65,9.668888889,18.04896,4.55
6/1/1989,22,30.3,1.49,9.641388889,15.84576,3.87
7/1/1989,21.5,29.1,1.54,8.383055556,11.88,3.21
8/1/1989,21.3,28.8,1.73,7.770833333,10.80864,3.13
9/1/1989,21.5,29.5,1.41,8.327222222,11.7072,3.19
10/1/1989,21.4,31,1.11,9.183055556,15.984,3.79
11/1/1989,21.8,34,1.15,9.992777778,18.29952,4.36
12/1/1989,20.7,33.6,1.11,10.035,16.16544,3.92
1/1/1990,22.2,33.4,1.36,9.677777778,16.05312,4.03
2/1/1990,21.7,35.5,1.72,9.983333333,17.97984,4.92
3/1/1990,23.3,37.1,1.73,10.15277778,21.28032,5.68
4/1/1990,23.2,33.9,2.29,9.89,17.55648,5.03
5/1/1990,22.7,32.5,1.8,9.343611111,16.26912,4.38
6/1/1990,22.4,31.2,1.7,9.074166667,14.7312,3.91
7/1/1990,21.8,28.3,1.85,7.698055556,10.37664,3.01
8/1/1990,21.8,28.6,1.48,7.111944444,10.27296,2.89
9/1/1990,21.4,29.9,1.43,8.293333333,12.24288,3.33
10/1/1990,22.1,31.3,1.16,9.007777778,15.58656,3.77
11/1/1990,22.8,33.2,1.23,9.368333333,15.8976,3.97
12/1/1990,21.7,33.3,1.29,9.264166667,14.20416,3.74
1/1/1991,21.5,33.2,1.35,9.709444444,16.05312,4.02
2/1/1991,22.6,34.7,1.92,9.37,13.92768,4.35
3/1/1991,23.6,34.3,1.89,9.741388889,17.064,4.73
4/1/1991,22.5,32.2,2.17,9.630277778,16.66656,4.6
5/1/1991,22.3,31.6,1.91,9.036666667,14.9904,4.14
6/1/1991,21.5,30.6,1.55,8.903888889,14.17824,3.72
7/1/1991,21.3,28.4,1.85,8.076944444,10.66176,3.1
8/1/1991,21.1,27.4,2.04,8.266111111,10.90368,3.09
9/1/1991,21.2,29.4,1.41,8.868888889,12.4416,3.3
10/1/1991,20.5,29.6,1.31,8.670833333,14.33376,3.54
11/1/1991,21.1,32.1,1.18,9.61,16.9776,4.01
12/1/1991,19.3,33,1.25,10.03666667,16.85664,4.08
1/1/1992,18.7,33.3,1.8,10.36555556,18.63648,4.78
