Station name:,,,,,,
Mokoliki,,,,,Latitude (decimals):,6.8
,,,,,,
Elevation (m):,,14,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,23.3,31.9,1.38,9.720833333,17.29728,4.05
2/1/1979,23.5,32.6,1.89,9.803611111,17.24544,4.45
3/1/1979,24.3,33,1.68,10.17611111,18.24768,4.59
4/1/1979,23.8,32.1,1.85,9.694166667,17.15904,4.43
5/1/1979,22.9,30.4,1.55,10.22722222,18.61056,4.3
6/1/1979,22.1,28.5,1.93,8.611388889,13.35744,3.45
7/1/1979,22,27.8,2.21,7.549166667,11.1024,3.14
8/1/1979,22.2,28,2.15,7.793888889,11.68992,3.23
9/1/1979,22.3,28.7,1.62,9.303333333,13.20192,3.36
10/1/1979,22.4,29.7,1.29,9.3,14.97312,3.57
11/1/1979,23.2,30.7,1.07,9.573611111,15.12,3.52
12/1/1979,21.8,31,0.9,10.27527778,17.064,3.68
1/1/1980,23.2,32.1,1.46,9.9125,15.00768,3.79
2/1/1980,24,32.5,1.76,9.943611111,14.92992,4.01
3/1/1980,24.3,32.8,1.73,10.12166667,18.07488,4.56
4/1/1980,24,32.6,1.8,10.15166667,18.48096,4.67
5/1/1980,23.1,30,1.75,9.283611111,16.06176,3.95
6/1/1980,22.8,29.4,1.96,8.433611111,13.12416,3.51
7/1/1980,22.1,27.5,2.26,6.315833333,11.43936,3.15
8/1/1980,21.8,27.7,2.32,5.349444444,10.21248,3.08
9/1/1980,22.3,28.9,1.44,7.776111111,11.93184,3.13
10/1/1980,22.4,29.1,1.56,7.691388889,12.73536,3.3
11/1/1980,22.5,30.9,1.04,9.820277778,15.552,3.6
12/1/1980,20.7,30.9,1.19,10.26694444,17.48736,3.9
1/1/1981,22,31.9,1.4,9.875833333,16.13952,3.93
2/1/1981,24.6,33.4,1.74,10.02722222,16.85664,4.38
3/1/1981,24.9,33.3,1.81,10.20277778,17.97984,4.63
4/1/1981,24.4,33,1.78,10.04277778,18.15264,4.65
5/1/1981,23.2,31.5,1.46,8.51,14.93856,3.84
6/1/1981,22.3,30.4,1.66,8.555277778,13.08096,3.55
7/1/1981,22.5,28,2.45,7.589444444,10.73952,3.16
8/1/1981,22.5,28.2,2.26,6.180555556,9.66816,3
9/1/1981,22.9,29.4,1.83,7.81,11.448,3.24
10/1/1981,23.4,30.7,1.13,9.231944444,15.8112,3.71
11/1/1981,22.6,32.2,0.99,10.58111111,19.80288,4.32
12/1/1981,23.9,32.9,1.18,10.21833333,15.87168,3.84
1/1/1982,22.2,32.9,1.5,9.882222222,17.00352,4.22
2/1/1982,23.9,33,1.71,10.01305556,17.26272,4.4
3/1/1982,25.1,33,1.32,10.23833333,18.9216,4.5
4/1/1982,24.3,32.7,1.53,9.5975,16.99488,4.31
5/1/1982,23.5,30.8,1.4,9.301111111,16.3728,3.94
6/1/1982,23.2,29.4,1.5,8.353888889,12.76992,3.26
7/1/1982,22.3,28.1,1.93,6.847777778,10.50624,2.99
8/1/1982,22.4,27.5,1.94,7.534444444,12.59712,3.2
9/1/1982,23.2,29.2,1.65,7.686111111,13.50432,3.43
10/1/1982,23.2,29.9,1.36,9.136666667,15.18048,3.63
11/1/1982,22.8,31.5,1.15,9.856111111,17.8848,4.05
12/1/1982,23.2,32.4,1.11,10.02138889,15.90624,3.76
1/1/1983,19.8,32.3,1.99,10.44694444,20.38176,4.96
2/1/1983,23.8,34.3,1.83,9.981944444,18.5328,4.85
3/1/1983,25.6,34.7,1.67,10.10194444,20.94336,5.21
4/1/1983,25.2,34,1.66,10.42111111,20.5632,5.09
5/1/1983,24.5,32,1.62,9.814444444,17.57376,4.33
6/1/1983,22.9,29.4,1.88,8.431111111,13.27968,3.5
7/1/1983,22.6,28.6,2.12,7.439166667,12.1824,3.33
8/1/1983,22.3,28,1.87,6.472777778,11.59488,3.11
9/1/1983,23.3,29.3,1.62,7.588333333,12.25152,3.24
10/1/1983,24,31,1.33,10.00166667,18.86976,4.29
11/1/1983,24.2,32.1,1.41,9.970277778,17.22816,4.13
12/1/1983,23.9,31.4,1.11,9.88,14.58432,3.46
1/1/1984,22.6,33,1.34,10.08388889,18.93888,4.39
2/1/1984,24,33.9,1.78,10.01555556,18.65376,4.77
3/1/1984,25.5,33.2,1.46,9.990277778,17.72064,4.39
4/1/1984,24.6,32,1.4,10.15111111,18.51552,4.4
5/1/1984,23.8,31.1,1.4,9.7525,16.38144,3.96
6/1/1984,22.7,29.9,1.14,9.938611111,15.58656,3.6
7/1/1984,22.5,29.4,1.44,9.430555556,12.93408,3.29
8/1/1984,22.7,29.4,1.39,9.3025,13.68576,3.38
9/1/1984,22.8,29.3,1.39,8.485555556,13.08096,3.3
10/1/1984,23,30.4,1.04,8.970277778,15.81984,3.65
11/1/1984,24,31.9,1.11,10.08916667,18.26496,4.12
12/1/1984,22.5,31.9,1.07,10.29416667,17.68608,3.95
1/1/1985,23.7,32.4,1.4,9.793333333,14.7312,3.74
2/1/1985,23.4,33.8,1.32,10.02083333,19.75104,4.66
3/1/1985,25.3,33.2,1.77,9.899444444,17.4528,4.49
4/1/1985,24.5,32.3,1.26,9.948611111,17.94528,4.28
5/1/1985,23.8,30.5,1.66,9.814166667,16.69248,4.04
6/1/1985,22.7,29.7,1.59,9.906111111,15.17184,3.71
7/1/1985,22,28.5,1.62,9.301944444,13.48704,3.35
8/1/1985,22.7,28.7,1.47,8.971944444,11.45664,3.01
9/1/1985,22,29.5,1.48,9.239444444,13.6944,3.48
10/1/1985,22.5,30.9,0.88,9.430833333,16.59744,3.73
11/1/1985,24,31.8,1.02,10.01416667,16.88256,3.86
12/1/1985,21.6,31.8,1.29,10.11194444,17.68608,4.08
1/1/1986,22.9,32.4,1.52,9.835833333,17.12448,4.17
2/1/1986,24.7,33.3,1.84,9.905833333,16.31232,4.34
3/1/1986,25,32.1,1.53,10.20083333,17.68608,4.29
4/1/1986,24.6,32.7,1.58,10.14638889,18.20448,4.52
5/1/1986,23.7,32.2,1.27,9.892777778,17.82432,4.25
6/1/1986,22.5,29.9,1.48,9.639444444,15.60384,3.75
7/1/1986,22,27.7,1.88,8.415555556,11.97504,3.13
8/1/1986,21.6,28.1,1.76,7.738055556,12.12192,3.21
9/1/1986,22.8,28.6,1.57,8.015,13.05504,3.28
10/1/1986,22.8,29.7,1.32,9.530555556,16.26912,3.77
11/1/1986,23.1,31,0.97,9.646388889,16.77888,3.75
12/1/1986,21.5,32.2,1.11,10.15722222,18.15264,4.07
1/1/1987,23.6,32.8,1.33,9.736944444,16.62336,4.02
2/1/1987,24.9,33.4,1.67,9.871111111,15.984,4.2
3/1/1987,25,33,1.41,10.03694444,18.37728,4.46
4/1/1987,25.7,34.1,1.58,10.38611111,20.952,5.12
