Station name:,,,,,,
Oyan Dam Site,,,,,Latitude (decimals):,7.4
,,,,,,
Elevation (m):,,174,,Wind speed height (m):,,2
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,23.1,33.3,1.15,9.844722222,17.60832,4.11
2/1/1979,23,34,1.63,9.655,17.82432,4.59
3/1/1979,23.8,34.2,1.64,9.965555556,18.82656,4.83
4/1/1979,23.4,33,1.89,9.705833333,17.52192,4.66
5/1/1979,22.5,31,1.43,9.798888889,18.97344,4.4
6/1/1979,21.8,29.2,1.69,8.570555556,13.55616,3.5
7/1/1979,21.6,28.2,1.92,7.947222222,11.3616,3.17
8/1/1979,21.9,28.4,1.92,8.053611111,11.81952,3.25
9/1/1979,21.7,29.2,1.41,8.877777778,13.09824,3.35
10/1/1979,21.8,30.4,1.1,9.033888889,14.92128,3.56
11/1/1979,22.7,31.5,0.99,9.130277778,15.44832,3.6
12/1/1979,21.3,32.1,0.84,10.28416667,17.22816,3.75
1/1/1980,23,33.4,1.22,9.649722222,15.40512,3.84
2/1/1980,23.5,33.9,1.65,9.649444444,15.7248,4.27
3/1/1980,23.7,34,1.62,9.957222222,18.85248,4.8
4/1/1980,23.5,33.5,1.85,9.851111111,18.85248,4.9
5/1/1980,22.7,30.7,1.68,9.16,16.26048,4.06
6/1/1980,22.6,30,1.75,8.548611111,13.29696,3.55
7/1/1980,21.7,28,2.05,7.186388889,11.18016,3.16
8/1/1980,21.4,28,2.03,6.37,9.95328,3.02
9/1/1980,21.8,29.4,1.23,8.008611111,12.04416,3.13
10/1/1980,21.8,29.7,1.35,7.973888889,12.80448,3.31
11/1/1980,22,31.7,1.02,9.482222222,15.79392,3.69
12/1/1980,20.1,32,1.07,10.14611111,17.44416,3.92
1/1/1981,21.7,33.2,1.2,9.925277778,16.60608,4
2/1/1981,24,34.7,1.57,9.940833333,17.53056,4.58
3/1/1981,24.4,34.6,1.66,9.897777778,18.59328,4.84
4/1/1981,24.1,33.9,1.8,9.688333333,18.37728,4.84
5/1/1981,22.9,32.1,1.35,8.6725,15.28416,3.92
6/1/1981,22.2,31,1.54,8.729722222,13.29696,3.6
7/1/1981,22.2,28.5,2.17,7.491111111,10.39392,3.13
8/1/1981,22.1,28.5,2,6.272222222,9.14112,2.91
9/1/1981,22.4,29.9,1.58,7.634444444,11.2752,3.21
10/1/1981,22.8,31.4,1.03,8.901111111,15.73344,3.72
11/1/1981,22.1,33,0.97,10.19111111,19.82016,4.37
12/1/1981,23.3,34,0.95,9.881944444,15.92352,3.8
1/1/1982,22,34.3,1.29,9.823055556,17.41824,4.29
2/1/1982,23.4,34.3,1.55,9.975833333,17.7552,4.56
3/1/1982,24.6,34.2,1.3,10.0425,19.40544,4.71
4/1/1982,24,33.6,1.63,9.416388889,17.01216,4.5
5/1/1982,23.1,31.5,1.32,8.982222222,16.74432,4.05
6/1/1982,22.9,30.1,1.39,8.684722222,13.15008,3.37
7/1/1982,22.1,28.6,1.73,7.488055556,10.73088,3.03
8/1/1982,21.9,27.9,1.81,7.662777778,12.19104,3.19
9/1/1982,22.7,29.8,1.39,7.925555556,13.33152,3.4
10/1/1982,22.6,30.6,1.12,9.0025,15.09408,3.6
11/1/1982,22.3,32.3,1.01,9.7125,18.08352,4.08
12/1/1982,22.7,33.5,0.9,9.828611111,16.0704,3.74
1/1/1983,19.6,33.5,2.13,10.46777778,20.45952,5.25
2/1/1983,23.3,35.7,1.66,9.975,18.90432,5
3/1/1983,25,35.9,1.54,10.07194444,21.30624,5.36
4/1/1983,24.8,35,1.72,10.08166667,20.79648,5.31
5/1/1983,24.1,32.7,1.54,9.47,18.04896,4.48
6/1/1983,22.7,30.1,1.64,8.767777778,13.40928,3.53
7/1/1983,22.3,29.1,1.86,7.425277778,11.85408,3.29
8/1/1983,21.9,28.3,1.69,6.605833333,11.17152,3.06
9/1/1983,22.8,29.8,1.45,8.0225,12.19104,3.25
10/1/1983,23.4,31.7,1.09,9.574444444,18.99936,4.28
11/1/1983,23.7,32.9,1.23,9.571944444,17.55648,4.18
12/1/1983,23.4,32.5,0.95,9.56,14.62752,3.48
1/1/1984,22.4,34.4,1.26,10.11222222,19.1376,4.52
2/1/1984,23.5,35.3,1.59,9.976666667,19.10304,4.92
3/1/1984,25,34.4,1.44,9.767222222,18.16992,4.61
4/1/1984,24.2,32.9,1.5,9.791388889,18.72288,4.6
5/1/1984,23.5,31.8,1.39,9.241666667,16.48512,4.07
6/1/1984,22.4,30.5,1.15,9.511944444,15.552,3.67
7/1/1984,22.2,29.9,1.34,8.953055556,12.99456,3.33
8/1/1984,22.3,29.7,1.26,8.933888889,13.72032,3.39
9/1/1984,22.3,29.9,1.27,8.113611111,12.83904,3.3
10/1/1984,22.5,31.1,0.94,8.746666667,15.80256,3.66
11/1/1984,23.5,32.7,1.01,9.708055556,18.4464,4.17
12/1/1984,22,33,1.03,10.16055556,17.63424,4.01
1/1/1985,23.6,33.8,1.23,9.653888889,15.30144,3.86
2/1/1985,22.9,35.1,1.31,10.03444444,20.14848,4.86
3/1/1985,24.8,34.4,1.6,9.768055556,17.95392,4.67
4/1/1985,24.1,33.1,1.4,9.761666667,18.11808,4.48
5/1/1985,23.4,31.2,1.62,9.378055556,16.8912,4.17
6/1/1985,22.4,30.4,1.5,9.514444444,15.23232,3.78
7/1/1985,21.7,28.9,1.49,9.163611111,13.46976,3.37
8/1/1985,22.4,29.1,1.4,8.612777778,11.39616,3.04
9/1/1985,21.6,29.9,1.3,8.76,13.31424,3.4
10/1/1985,22,31.6,0.85,9.085833333,16.64064,3.78
11/1/1985,23.5,32.7,0.95,9.663055556,17.1936,3.95
12/1/1985,21.1,32.9,1.19,10.16277778,17.72928,4.13
1/1/1986,22.7,33.7,1.32,9.854722222,17.42688,4.24
2/1/1986,24.3,34.6,1.62,9.768611111,16.81344,4.48
3/1/1986,24.5,33.3,1.42,9.903611111,18.04032,4.45
4/1/1986,24.2,33.6,1.65,9.754444444,18.17856,4.68
5/1/1986,23.4,32.9,1.28,9.296388889,17.95392,4.37
6/1/1986,22.3,30.5,1.42,9.386944444,15.75072,3.83
7/1/1986,21.7,28.2,1.65,8.550277778,12.02688,3.15
8/1/1986,21.3,28.4,1.54,7.648888889,12.0528,3.17
9/1/1986,22.3,29.1,1.38,7.672777778,12.81312,3.26
10/1/1986,22.2,30.4,1.07,9.270833333,16.35552,3.75
11/1/1986,22.6,31.8,0.91,9.569166667,16.95168,3.81
12/1/1986,21,33.3,1.06,10.28722222,18.21312,4.14
1/1/1987,23.4,34.2,1.12,9.748611111,17.08128,4.1
2/1/1987,24.4,34.7,1.48,9.694722222,16.64928,4.37
3/1/1987,24.5,34.2,1.35,9.953333333,18.76608,4.64
4/1/1987,25.2,35,1.65,10.0575,21.28896,5.34
5/1/1987,24,33.5,1.81,9.779444444,18.84384,4.85
6/1/1987,23.1,31.5,1.41,9.465277778,15.49152,3.88
7/1/1987,22.9,30.6,1.34,8.991111111,13.11552,3.39
8/1/1987,23.1,29.7,1.48,8.013055556,10.6272,2.99
9/1/1987,22.9,30.4,1.16,8.931666667,12.96,3.29
10/1/1987,22.9,31.3,0.95,9.105833333,16.39872,3.77
11/1/1987,23.5,34,0.99,9.773888889,18.73152,4.32
12/1/1987,22.3,33.8,0.97,10.21333333,17.28864,3.99
1/1/1988,22.9,33.8,1.26,10.02527778,17.6256,4.23
