Station name:,,,,,,
Sepeteri,,,,,Latitude (decimals):,8.8
,,,,,,
Elevation (m): 391,,,,Wind speed height (m): 2,,
,,,,,,
,,,,,,
Date,Tmin,Tmax,Wind speed,Sunlight hours,Radiation, ETO  (FAO)
1/1/1979,19.9,33.5,1.78,10.08722222,17.693808,4.61
2/1/1979,19.9,35.1,1.68,9.867777778,18.541312,4.95
3/1/1979,22,34.9,2.17,9.812222222,19.535832,5.43
4/1/1979,22.1,33.4,2.38,9.737777778,18.524016,5.2
5/1/1979,21.1,31,1.67,9.96,19.58772,4.65
6/1/1979,20.1,29,1.78,8.853055556,15.04752,3.82
7/1/1979,20,27.7,1.7,8.508611111,12.695264,3.3
8/1/1979,20.4,27.8,1.87,8.503055556,12.79904,3.39
9/1/1979,19.9,28.5,1.47,8.705833333,12.972,3.36
10/1/1979,20,30.4,1.37,9.184166667,14.839968,3.74
11/1/1979,20,31.6,1.51,9.465555556,16.206352,4.07
12/1/1979,17.4,32.1,1.91,10.27916667,17.55544,4.59
1/1/1980,20,33.9,1.78,9.566388889,16.318776,4.49
2/1/1980,20.7,35,1.82,9.574444444,17.140336,4.83
3/1/1980,21.6,34.9,2.08,9.977777778,20.435224,5.52
4/1/1980,22.3,34.3,2.33,9.878888889,19.475296,5.46
5/1/1980,21.3,31.2,2.14,9.161111111,16.240944,4.43
6/1/1980,20.8,29.9,1.81,8.986944444,14.83132,3.89
7/1/1980,20.1,27.6,1.95,7.681666667,11.527784,3.23
8/1/1980,19.8,27.4,1.93,7.511388889,10.714872,3.12
9/1/1980,20,28.9,1.25,8.339166667,12.591488,3.23
10/1/1980,20,29.6,1.55,8.581111111,13.508176,3.57
11/1/1980,19.3,31.7,1.58,9.558611111,16.12852,4.14
12/1/1980,16.6,32.2,1.79,10.14083333,17.131688,4.5
1/1/1981,18.4,33.1,1.81,10.1575,17.304648,4.58
2/1/1981,21.1,36,1.91,9.893611111,18.671032,5.24
3/1/1981,22.4,35.7,2.12,9.758055556,19.310984,5.48
4/1/1981,22.8,34.6,2.24,9.751388889,18.601848,5.3
5/1/1981,21.6,32.4,1.75,9.180833333,15.895024,4.34
6/1/1981,21.1,31,1.82,9.005555556,15.142648,4.08
7/1/1981,20.8,28,2.11,7.713888889,10.662984,3.19
8/1/1981,20.7,28.1,1.96,6.291944444,8.898792,2.92
9/1/1981,20.8,29.4,1.56,7.985277778,11.579672,3.27
10/1/1981,21,31.6,1.39,9.327222222,16.180408,4.05
11/1/1981,19.2,32.9,1.75,10.27111111,19.042896,4.8
12/1/1981,19.1,34.4,1.31,10.02138889,16.60416,4.23
1/1/1982,18.8,34,2.34,9.991666667,17.391128,5.13
2/1/1982,20.8,35.1,2.2,10.04222222,17.884064,5.23
3/1/1982,22.3,35,2.02,10.05611111,19.682848,5.35
4/1/1982,22.7,34,2.29,9.441111111,16.69064,4.95
5/1/1982,21.6,31.9,1.75,9.116388889,16.984672,4.42
6/1/1982,21.3,30.4,1.61,9.184166667,15.211832,3.89
7/1/1982,20.7,28.3,1.66,8.010277778,12.167736,3.25
8/1/1982,20.6,27.6,1.82,7.811944444,11.830464,3.2
